data,acucar_usd
03/01/2017,20.51
04/01/2017,20.89
05/01/2017,20.78
06/01/2017,20.75
09/01/2017,20.42
10/01/2017,20.48
11/01/2017,20.56
12/01/2017,20.76
13/01/2017,20.52
17/01/2017,20.73
18/01/2017,20.98
19/01/2017,20.18
20/01/2017,20.18
23/01/2017,20.64
24/01/2017,20.58
25/01/2017,20.34
26/01/2017,20.36
27/01/2017,20.33
30/01/2017,20.31
31/01/2017,20.45
01/02/2017,20.84
02/02/2017,20.55
03/02/2017,21.11
06/02/2017,21.18
07/02/2017,20.72
08/02/2017,20.76
09/02/2017,20.65
10/02/2017,20.42
13/02/2017,20
14/02/2017,20.47
15/02/2017,20.48
16/02/2017,20.36
17/02/2017,20.3
21/02/2017,20.8
22/02/2017,20.71
23/02/2017,20.16
24/02/2017,19.8
27/02/2017,19.09
28/02/2017,19.31
01/03/2017,19.48
02/03/2017,19.66
03/03/2017,19.52
06/03/2017,19.15
07/03/2017,18.4
08/03/2017,18.4
09/03/2017,18
10/03/2017,18.22
13/03/2017,18.18
14/03/2017,18.16
15/03/2017,18.23
16/03/2017,18.25
17/03/2017,18.17
20/03/2017,17.7
21/03/2017,17.29
22/03/2017,17.3
23/03/2017,17.6
24/03/2017,17.71
27/03/2017,17.7
28/03/2017,17.56
29/03/2017,17.12
30/03/2017,16.81
31/03/2017,16.76
03/04/2017,16.54
04/04/2017,16.16
05/04/2017,16.1
06/04/2017,16.45
07/04/2017,16.77
10/04/2017,16.63
11/04/2017,16.72
12/04/2017,16.7
13/04/2017,16.6
17/04/2017,16.47
18/04/2017,16.7
19/04/2017,16.42
20/04/2017,16.33
21/04/2017,16.41
24/04/2017,16.24
25/04/2017,16.18
26/04/2017,15.38
27/04/2017,15.18
28/04/2017,16.04
01/05/2017,16.18
02/05/2017,15.88
03/05/2017,15.77
04/05/2017,15.37
05/05/2017,15.31
08/05/2017,15.38
09/05/2017,15.44
10/05/2017,15.84
11/05/2017,15.63
12/05/2017,15.51
15/05/2017,15.61
16/05/2017,15.88
17/05/2017,16.3
18/05/2017,16.03
19/05/2017,16.38
22/05/2017,16.51
23/05/2017,15.87
24/05/2017,15.67
25/05/2017,15.66
26/05/2017,15.05
30/05/2017,15.02
31/05/2017,14.87
01/06/2017,14.23
02/06/2017,13.74
05/06/2017,13.89
06/06/2017,13.98
07/06/2017,14.14
08/06/2017,14.34
09/06/2017,14.27
12/06/2017,14.02
13/06/2017,13.79
14/06/2017,13.62
15/06/2017,13.47
16/06/2017,13.44
19/06/2017,13.46
20/06/2017,13.61
21/06/2017,13.06
22/06/2017,12.84
23/06/2017,12.97
26/06/2017,12.61
27/06/2017,12.65
28/06/2017,12.55
29/06/2017,13.3
30/06/2017,13.68
03/07/2017,13.92
05/07/2017,13.72
06/07/2017,13.92
07/07/2017,14.15
10/07/2017,13.56
11/07/2017,13.44
12/07/2017,13.49
13/07/2017,14.14
14/07/2017,14.3
17/07/2017,14.09
18/07/2017,14.1
19/07/2017,14.5
20/07/2017,14.41
21/07/2017,14.4
24/07/2017,14.4
25/07/2017,13.9
26/07/2017,14.23
27/07/2017,14.43
28/07/2017,14.37
31/07/2017,14.91
01/08/2017,14.88
02/08/2017,14.79
03/08/2017,14.31
04/08/2017,14.14
07/08/2017,13.87
08/08/2017,13.78
09/08/2017,13.64
10/08/2017,13.24
11/08/2017,13.2
14/08/2017,13.5
15/08/2017,13.13
16/08/2017,12.94
17/08/2017,13.29
18/08/2017,13.41
21/08/2017,13.52
22/08/2017,13.51
23/08/2017,13.67
24/08/2017,14.02
