data,acucar_blr
02/01/2017,89.9
03/01/2017,89.87
04/01/2017,89.39
05/01/2017,88.99
06/01/2017,89.19
09/01/2017,89.26
10/01/2017,89.41
11/01/2017,88.94
12/01/2017,89.11
13/01/2017,88.76
16/01/2017,88.53
17/01/2017,88.09
18/01/2017,88.2
19/01/2017,87.81
20/01/2017,87.37
23/01/2017,86.94
24/01/2017,87.02
25/01/2017,86.44
26/01/2017,85.91
27/01/2017,85.74
30/01/2017,85.95
31/01/2017,85.65
01/02/2017,84.75
02/02/2017,84.83
03/02/2017,84.41
06/02/2017,84.67
07/02/2017,84.13
08/02/2017,83.85
09/02/2017,83.15
10/02/2017,83.54
13/02/2017,83.36
14/02/2017,83.22
15/02/2017,83.33
16/02/2017,82.7
17/02/2017,82.7
20/02/2017,82.12
21/02/2017,81.86
22/02/2017,81.96
23/02/2017,82.02
24/02/2017,81.34
01/03/2017,80.76
02/03/2017,80.86
03/03/2017,80.37
06/03/2017,80.44
07/03/2017,79.82
08/03/2017,79.08
09/03/2017,78.76
10/03/2017,78.36
13/03/2017,77.79
14/03/2017,77.98
15/03/2017,77.93
16/03/2017,77.68
17/03/2017,77.02
20/03/2017,76.29
21/03/2017,76.34
22/03/2017,76.92
23/03/2017,76.91
24/03/2017,76.31
27/03/2017,75.54
28/03/2017,74.39
29/03/2017,74.75
30/03/2017,73.79
31/03/2017,74
03/04/2017,74.22
04/04/2017,74.48
05/04/2017,74.39
06/04/2017,73.58
07/04/2017,73.56
10/04/2017,73.7
11/04/2017,73.84
12/04/2017,73.92
13/04/2017,73.79
17/04/2017,73.59
18/04/2017,73.32
19/04/2017,73.58
20/04/2017,73.88
24/04/2017,74.61
25/04/2017,74.8
26/04/2017,75.39
27/04/2017,75.86
28/04/2017,76.52
02/05/2017,77.04
03/05/2017,77.29
04/05/2017,76.59
05/05/2017,76.54
08/05/2017,76.87
09/05/2017,76.8
10/05/2017,76.76
11/05/2017,76.29
12/05/2017,76.33
15/05/2017,76.13
16/05/2017,76.21
17/05/2017,76.46
18/05/2017,76.44
19/05/2017,76.52
22/05/2017,76.89
23/05/2017,77.47
24/05/2017,78.08
25/05/2017,77.64
26/05/2017,77.52
29/05/2017,77.91
30/05/2017,77.72
31/05/2017,77.71
01/06/2017,77.41
02/06/2017,76.63
05/06/2017,76.14
06/06/2017,76.03
07/06/2017,75.32
08/06/2017,75.13
09/06/2017,74.66
12/06/2017,74.82
13/06/2017,74.42
14/06/2017,73.43
16/06/2017,73.43
19/06/2017,73.13
20/06/2017,71.91
21/06/2017,70.9
22/06/2017,70.24
23/06/2017,69.83
26/06/2017,68.26
27/06/2017,67.61
28/06/2017,67.27
29/06/2017,66.08
30/06/2017,64.66
03/07/2017,63.33
04/07/2017,63.08
05/07/2017,63.23
06/07/2017,63.29
07/07/2017,63.32
10/07/2017,63.62
11/07/2017,63.48
12/07/2017,63.52
13/07/2017,62.51
14/07/2017,62.46
17/07/2017,61.31
18/07/2017,60.57
19/07/2017,59.68
20/07/2017,59.5
21/07/2017,59.31
24/07/2017,59.16
25/07/2017,59.17
26/07/2017,58.76
27/07/2017,58.6
28/07/2017,58.43
31/07/2017,58.48
01/08/2017,58
02/08/2017,57.58
03/08/2017,57.19
04/08/2017,57.46
07/08/2017,57.17
08/08/2017,55.82
09/08/2017,55.04
10/08/2017,54.64
11/08/2017,54.86
14/08/2017,54.3
15/08/2017,53.99
16/08/2017,53.81
17/08/2017,53.4
18/08/2017,53.32
