data,brent_usd
03/01/2017,55.47
04/01/2017,56.46
05/01/2017,56.89
06/01/2017,57.1
09/01/2017,54.94
10/01/2017,53.64
11/01/2017,55.1
12/01/2017,56.01
13/01/2017,55.45
16/01/2017,55.86
17/01/2017,55.47
18/01/2017,53.92
19/01/2017,54.16
20/01/2017,55.49
23/01/2017,55.23
24/01/2017,55.44
25/01/2017,55.08
26/01/2017,56.24
27/01/2017,55.52
30/01/2017,55.23
31/01/2017,55.7
01/02/2017,56.8
02/02/2017,56.56
03/02/2017,56.81
06/02/2017,55.72
07/02/2017,55.05
08/02/2017,55.12
09/02/2017,55.63
10/02/2017,56.7
13/02/2017,55.59
14/02/2017,55.97
15/02/2017,55.75
16/02/2017,55.65
17/02/2017,55.81
20/02/2017,56.18
21/02/2017,56.66
22/02/2017,55.84
23/02/2017,56.58
24/02/2017,55.99
27/02/2017,55.93
28/02/2017,55.59
01/03/2017,56.36
02/03/2017,55.08
03/03/2017,55.9
06/03/2017,56.01
07/03/2017,55.92
08/03/2017,53.11
09/03/2017,52.19
10/03/2017,51.37
13/03/2017,51.35
14/03/2017,50.92
15/03/2017,51.81
16/03/2017,51.74
17/03/2017,51.76
20/03/2017,51.62
21/03/2017,50.96
22/03/2017,50.64
23/03/2017,50.56
24/03/2017,50.8
27/03/2017,50.75
28/03/2017,51.33
29/03/2017,52.42
30/03/2017,52.96
31/03/2017,52.83
03/04/2017,53.12
04/04/2017,54.17
05/04/2017,54.36
06/04/2017,54.89
07/04/2017,55.24
10/04/2017,55.98
11/04/2017,56.23
12/04/2017,55.86
13/04/2017,55.89
17/04/2017,55.36
18/04/2017,54.89
19/04/2017,52.93
20/04/2017,52.99
21/04/2017,51.96
24/04/2017,51.6
25/04/2017,52.1
26/04/2017,51.82
27/04/2017,51.44
28/04/2017,51.73
01/05/2017,51.52
02/05/2017,50.46
03/05/2017,50.79
04/05/2017,48.38
05/05/2017,49.1
08/05/2017,49.34
09/05/2017,48.73
10/05/2017,50.22
11/05/2017,50.77
12/05/2017,50.84
15/05/2017,51.82
16/05/2017,51.65
17/05/2017,52.21
18/05/2017,52.51
19/05/2017,53.61
22/05/2017,53.87
23/05/2017,54.15
24/05/2017,53.96
25/05/2017,51.46
26/05/2017,52.15
29/05/2017,52.29
30/05/2017,51.84
31/05/2017,50.31
01/06/2017,50.63
02/06/2017,49.95
05/06/2017,49.47
06/06/2017,50.12
07/06/2017,48.06
08/06/2017,47.86
09/06/2017,48.15
12/06/2017,48.29
13/06/2017,48.72
14/06/2017,47
15/06/2017,46.92
16/06/2017,47.37
19/06/2017,46.91
20/06/2017,46.02
21/06/2017,44.82
22/06/2017,45.22
23/06/2017,45.54
26/06/2017,45.83
27/06/2017,46.65
28/06/2017,47.31
29/06/2017,47.42
30/06/2017,47.92
03/07/2017,49.68
04/07/2017,49.61
05/07/2017,47.79
06/07/2017,48.11
07/07/2017,46.71
10/07/2017,46.88
11/07/2017,47.52
12/07/2017,47.74
13/07/2017,48.42
14/07/2017,48.91
17/07/2017,48.42
18/07/2017,48.84
19/07/2017,49.7
20/07/2017,49.3
21/07/2017,48.06
24/07/2017,48.6
25/07/2017,50.2
26/07/2017,50.97
27/07/2017,51.49
28/07/2017,52.52
31/07/2017,52.65
01/08/2017,51.78
02/08/2017,52.36
03/08/2017,52.01
04/08/2017,52.42
07/08/2017,52.37
08/08/2017,52.14
09/08/2017,52.7
10/08/2017,51.9
11/08/2017,52.1
14/08/2017,50.73
15/08/2017,50.8
16/08/2017,50.27
17/08/2017,51.03
18/08/2017,52.72
21/08/2017,51.66
