data,dolar_blr
02/01/2017,3.285
03/01/2017,3.257
04/01/2017,3.222
05/01/2017,3.198
06/01/2017,3.222
09/01/2017,3.195
10/01/2017,3.194
11/01/2017,3.184
12/01/2017,3.171
13/01/2017,3.213
16/01/2017,3.236
17/01/2017,3.21
18/01/2017,3.219
19/01/2017,3.197
20/01/2017,3.178
23/01/2017,3.167
24/01/2017,3.169
25/01/2017,3.169
26/01/2017,3.179
27/01/2017,3.153
30/01/2017,3.117
31/01/2017,3.147
01/02/2017,3.149
02/02/2017,3.118
03/02/2017,3.114
06/02/2017,3.124
07/02/2017,3.122
08/02/2017,3.116
09/02/2017,3.13
10/02/2017,3.107
13/02/2017,3.111
14/02/2017,3.097
15/02/2017,3.066
16/02/2017,3.077
17/02/2017,3.092
20/02/2017,3.085
21/02/2017,3.088
22/02/2017,3.069
23/02/2017,3.06
24/02/2017,3.11
01/03/2017,3.094
02/03/2017,3.147
03/03/2017,3.115
06/03/2017,3.125
07/03/2017,3.115
08/03/2017,3.161
09/03/2017,3.193
10/03/2017,3.14
13/03/2017,3.152
14/03/2017,3.176
15/03/2017,3.114
16/03/2017,3.119
17/03/2017,3.099
20/03/2017,3.069
21/03/2017,3.084
22/03/2017,3.095
23/03/2017,3.136
24/03/2017,3.107
27/03/2017,3.131
28/03/2017,3.141
29/03/2017,3.118
30/03/2017,3.137
31/03/2017,3.127
03/04/2017,3.112
04/04/2017,3.098
05/04/2017,3.104
06/04/2017,3.145
07/04/2017,3.154
10/04/2017,3.135
11/04/2017,3.15
12/04/2017,3.148
13/04/2017,3.145
17/04/2017,3.103
18/04/2017,3.12
19/04/2017,3.14
20/04/2017,3.155
24/04/2017,3.132
25/04/2017,3.152
26/04/2017,3.175
27/04/2017,3.175
28/04/2017,3.173
02/05/2017,3.154
03/05/2017,3.156
04/05/2017,3.185
05/05/2017,3.174
08/05/2017,3.197
09/05/2017,3.183
10/05/2017,3.165
11/05/2017,3.152
12/05/2017,3.126
15/05/2017,3.108
16/05/2017,3.098
17/05/2017,3.121
18/05/2017,3.382
19/05/2017,3.26
22/05/2017,3.279
23/05/2017,3.263
24/05/2017,3.279
25/05/2017,3.289
26/05/2017,3.267
29/05/2017,3.27
30/05/2017,3.262
31/05/2017,3.237
01/06/2017,3.248
02/06/2017,3.251
05/06/2017,3.288
06/06/2017,3.279
07/06/2017,3.277
08/06/2017,3.263
09/06/2017,3.282
12/06/2017,3.313
13/06/2017,3.305
14/06/2017,3.289
16/06/2017,3.288
19/06/2017,3.289
20/06/2017,3.334
21/06/2017,3.33
22/06/2017,3.332
23/06/2017,3.339
26/06/2017,3.301
27/06/2017,3.318
28/06/2017,3.285
29/06/2017,3.303
30/06/2017,3.312
03/07/2017,3.3
04/07/2017,3.308
05/07/2017,3.294
06/07/2017,3.299
07/07/2017,3.284
10/07/2017,3.26
11/07/2017,3.254
12/07/2017,3.206
13/07/2017,3.212
14/07/2017,3.181
17/07/2017,3.182
18/07/2017,3.155
19/07/2017,3.146
20/07/2017,3.13
21/07/2017,3.138
24/07/2017,3.147
25/07/2017,3.169
26/07/2017,3.14
27/07/2017,3.157
28/07/2017,3.133
31/07/2017,3.116
01/08/2017,3.122
02/08/2017,3.122
03/08/2017,3.114
04/08/2017,3.125
07/08/2017,3.123
08/08/2017,3.124
09/08/2017,3.149
10/08/2017,3.168
11/08/2017,3.17
14/08/2017,3.191
15/08/2017,3.176
16/08/2017,3.151
17/08/2017,3.179
18/08/2017,3.145
21/08/2017,3.168
22/08/2017,3.167
23/08/2017,3.137
24/08/2017,3.144
25/08/2017,3.153
28/08/2017,3.161
29/08/2017,3.161
30/08/2017,3.159
31/08/2017,3.15
01/09/2017,3.143
04/09/2017,3.135
05/09/2017,3.118
06/09/2017,3.103
08/09/2017,3.092
11/09/2017,3.1
12/09/2017,3.129
13/09/2017,3.131
14/09/2017,3.116
15/09/2017,3.115
18/09/2017,3.132
19/09/2017,3.139
20/09/2017,3.132
21/09/2017,3.144
22/09/2017,3.126
25/09/2017,3.156
26/09/2017,3.169
27/09/2017,3.191
28/09/2017,3.181
29/09/2017,3.167
02/10/2017,3.154
03/10/2017,3.146
04/10/2017,3.13
05/10/2017,3.154
06/10/2017,3.157
09/10/2017,3.186
10/10/2017,3.179
11/10/2017,3.166
13/10/2017,3.151
16/10/2017,3.169
17/10/2017,3.168
18/10/2017,3.165
19/10/2017,3.175
20/10/2017,3.187
23/10/2017,3.225
24/10/2017,3.258
25/10/2017,3.243
26/10/2017,3.276
27/10/2017,3.245
30/10/2017,3.279
31/10/2017,3.275
01/11/2017,3.266
03/11/2017,3.3
06/11/2017,3.26
07/11/2017,3.281
08/11/2017,3.259
09/11/2017,3.255
10/11/2017,3.279
13/11/2017,3.295
14/11/2017,3.306
16/11/2017,3.276
17/11/2017,3.26
20/11/2017,3.262
21/11/2017,3.25
22/11/2017,3.235
23/11/2017,3.221
24/11/2017,3.229
27/11/2017,3.218
28/11/2017,3.211
29/11/2017,3.246
30/11/2017,3.277
01/12/2017,3.258
04/12/2017,3.243
05/12/2017,3.23
06/12/2017,3.241
07/12/2017,3.288
08/12/2017,3.3
11/12/2017,3.299
12/12/2017,3.327
13/12/2017,3.311
14/12/2017,3.341
15/12/2017,3.306
18/12/2017,3.297
19/12/2017,3.301
20/12/2017,3.291
21/12/2017,3.31
22/12/2017,3.33
26/12/2017,3.317
27/12/2017,3.311
28/12/2017,3.309
02/01/2018,3.26
03/01/2018,3.242
04/01/2018,3.227
05/01/2018,3.231
08/01/2018,3.234
09/01/2018,3.248
10/01/2018,3.228
11/01/2018,3.224
12/01/2018,3.208
15/01/2018,3.209
16/01/2018,3.229
17/01/2018,3.215
18/01/2018,3.211
19/01/2018,3.199
22/01/2018,3.208
23/01/2018,3.242
24/01/2018,3.177
25/01/2018,3.139
26/01/2018,3.146
29/01/2018,3.166
30/01/2018,3.177
31/01/2018,3.187
01/02/2018,3.169
02/02/2018,3.212
05/02/2018,3.245
06/02/2018,3.24
07/02/2018,3.278
08/02/2018,3.282
09/02/2018,3.308
14/02/2018,3.23
15/02/2018,3.237
16/02/2018,3.219
19/02/2018,3.234
20/02/2018,3.253
21/02/2018,3.251
22/02/2018,3.246
23/02/2018,3.241
26/02/2018,3.237
27/02/2018,3.247
28/02/2018,3.238
01/03/2018,3.256
02/03/2018,3.251
05/03/2018,3.247
06/03/2018,3.208
07/03/2018,3.245
08/03/2018,3.264
09/03/2018,3.25
12/03/2018,3.255
13/03/2018,3.264
14/03/2018,3.264
15/03/2018,3.291
16/03/2018,3.274
19/03/2018,3.287
20/03/2018,3.308
21/03/2018,3.271
22/03/2018,3.302
23/03/2018,3.314
26/03/2018,3.303
27/03/2018,3.33
28/03/2018,3.33
29/03/2018,3.301
02/04/2018,3.318
03/04/2018,3.336
04/04/2018,3.337
05/04/2018,3.343
06/04/2018,3.37
09/04/2018,3.401
10/04/2018,3.406
11/04/2018,3.379
12/04/2018,3.402
13/04/2018,3.423
16/04/2018,3.422
17/04/2018,3.404
18/04/2018,3.378
19/04/2018,3.389
20/04/2018,3.412
23/04/2018,3.448
24/04/2018,3.469
25/04/2018,3.487
26/04/2018,3.479
27/04/2018,3.462
30/04/2018,3.506
02/05/2018,3.548
03/05/2018,3.526
04/05/2018,3.522
07/05/2018,3.554
08/05/2018,3.571
09/05/2018,3.604
10/05/2018,3.546
11/05/2018,3.603
14/05/2018,3.625
15/05/2018,3.662
16/05/2018,3.678
17/05/2018,3.705
18/05/2018,3.743
21/05/2018,3.687
22/05/2018,3.64
23/05/2018,3.627
24/05/2018,3.646
25/05/2018,3.673
28/05/2018,3.737
29/05/2018,3.746
30/05/2018,3.74
01/06/2018,3.764
04/06/2018,3.74
05/06/2018,3.811
06/06/2018,3.818
07/06/2018,3.92
08/06/2018,3.717
11/06/2018,3.719
12/06/2018,3.716
13/06/2018,3.717
14/06/2018,3.797
15/06/2018,3.722
18/06/2018,3.748
19/06/2018,3.743
20/06/2018,3.777
21/06/2018,3.768
22/06/2018,3.776
25/06/2018,3.782
26/06/2018,3.796
27/06/2018,3.852
28/06/2018,3.862
29/06/2018,3.875
02/07/2018,3.911
03/07/2018,3.893
04/07/2018,3.912
05/07/2018,3.933
06/07/2018,3.906
09/07/2018,3.869
10/07/2018,3.798
11/07/2018,3.88
12/07/2018,3.885
13/07/2018,3.852
16/07/2018,3.861
17/07/2018,3.841
18/07/2018,3.833
19/07/2018,3.866
20/07/2018,3.781
23/07/2018,3.786
24/07/2018,3.744
25/07/2018,3.706
26/07/2018,3.741
27/07/2018,3.713
30/07/2018,3.728
31/07/2018,3.754
01/08/2018,3.754
02/08/2018,3.757
03/08/2018,3.705
06/08/2018,3.729
07/08/2018,3.763
08/08/2018,3.77
09/08/2018,3.8
10/08/2018,3.858
13/08/2018,3.901
14/08/2018,3.866
15/08/2018,3.901
16/08/2018,3.902
17/08/2018,3.919
20/08/2018,3.958
21/08/2018,4.023
22/08/2018,4.058
23/08/2018,4.115
24/08/2018,4.104
27/08/2018,4.085
28/08/2018,4.144
29/08/2018,4.118
30/08/2018,4.16
31/08/2018,4.068
03/09/2018,4.149
04/09/2018,4.155
05/09/2018,4.132
06/09/2018,4.115
10/09/2018,4.095
11/09/2018,4.16
12/09/2018,4.147
13/09/2018,4.198
14/09/2018,4.165
17/09/2018,4.12
18/09/2018,4.131
19/09/2018,4.125
20/09/2018,4.076
21/09/2018,4.04
24/09/2018,4.082
25/09/2018,4.083
26/09/2018,4.025
27/09/2018,3.987
28/09/2018,4.043
01/10/2018,4.02
02/10/2018,3.94
03/10/2018,3.898
04/10/2018,3.891
05/10/2018,3.865
08/10/2018,3.761
09/10/2018,3.71
10/10/2018,3.758
11/10/2018,3.77
15/10/2018,3.736
16/10/2018,3.72
17/10/2018,3.682
18/10/2018,3.709
19/10/2018,3.709
22/10/2018,3.69
23/10/2018,3.698
24/10/2018,3.734
25/10/2018,3.7
26/10/2018,3.648
29/10/2018,3.709
30/10/2018,3.695
31/10/2018,3.709
01/11/2018,3.688
05/11/2018,3.719
06/11/2018,3.754
07/11/2018,3.741
08/11/2018,3.743
09/11/2018,3.736
12/11/2018,3.75
13/11/2018,3.82
14/11/2018,3.788
16/11/2018,3.736
19/11/2018,3.763
20/11/2018,3.759
21/11/2018,3.785
22/11/2018,3.805
23/11/2018,3.816
26/11/2018,3.904
27/11/2018,3.887
28/11/2018,3.841
29/11/2018,3.853
30/11/2018,3.858
03/12/2018,3.829
04/12/2018,3.86
05/12/2018,3.869
06/12/2018,3.889
07/12/2018,3.882
10/12/2018,3.923
11/12/2018,3.916
12/12/2018,3.85
13/12/2018,3.877
14/12/2018,3.903
17/12/2018,3.895
18/12/2018,3.901
19/12/2018,3.874
20/12/2018,3.851
21/12/2018,3.891
26/12/2018,3.919
27/12/2018,3.898
28/12/2018,3.875
02/01/2019,3.815
03/01/2019,3.756
