data,rbob_usd
03/01/2017,1.6218
04/01/2017,1.6459
05/01/2017,1.6377
06/01/2017,1.634
09/01/2017,1.5707
10/01/2017,1.5467
11/01/2017,1.5929
12/01/2017,1.6108
13/01/2017,1.6117
17/01/2017,1.6004
18/01/2017,1.5487
19/01/2017,1.5345
20/01/2017,1.566
23/01/2017,1.5667
24/01/2017,1.5759
25/01/2017,1.5238
26/01/2017,1.5427
27/01/2017,1.5271
30/01/2017,1.5055
31/01/2017,1.5256
01/02/2017,1.5791
02/02/2017,1.5329
03/02/2017,1.5537
06/02/2017,1.5103
07/02/2017,1.4875
08/02/2017,1.5527
09/02/2017,1.5702
10/02/2017,1.5896
13/02/2017,1.5446
14/02/2017,1.5467
15/02/2017,1.5479
16/02/2017,1.5247
17/02/2017,1.5166
21/02/2017,1.494
22/02/2017,1.5133
23/02/2017,1.5286
24/02/2017,1.5148
27/02/2017,1.5327
28/02/2017,1.512
01/03/2017,1.678
02/03/2017,1.6433
03/03/2017,1.6531
06/03/2017,1.6723
07/03/2017,1.6798
08/03/2017,1.6526
09/03/2017,1.6243
10/03/2017,1.6001
13/03/2017,1.5807
14/03/2017,1.5835
15/03/2017,1.5834
16/03/2017,1.5942
17/03/2017,1.5989
20/03/2017,1.6113
21/03/2017,1.6052
22/03/2017,1.6019
23/03/2017,1.5896
24/03/2017,1.6048
27/03/2017,1.6189
28/03/2017,1.6349
29/03/2017,1.672
30/03/2017,1.6812
31/03/2017,1.7001
03/04/2017,1.6937
04/04/2017,1.7217
05/04/2017,1.7153
06/04/2017,1.7296
07/04/2017,1.7462
10/04/2017,1.7581
11/04/2017,1.7577
12/04/2017,1.7417
13/04/2017,1.7349
17/04/2017,1.7196
18/04/2017,1.711
19/04/2017,1.659
20/04/2017,1.6705
21/04/2017,1.6445
24/04/2017,1.6214
25/04/2017,1.623
26/04/2017,1.5903
27/04/2017,1.55
28/04/2017,1.548
01/05/2017,1.5272
02/05/2017,1.5136
03/05/2017,1.5338
04/05/2017,1.4812
05/05/2017,1.5046
08/05/2017,1.5178
09/05/2017,1.4895
10/05/2017,1.5396
11/05/2017,1.5622
12/05/2017,1.5761
15/05/2017,1.5954
16/05/2017,1.6043
17/05/2017,1.6027
18/05/2017,1.6063
19/05/2017,1.6523
22/05/2017,1.6626
23/05/2017,1.6614
24/05/2017,1.6526
25/05/2017,1.6093
26/05/2017,1.6426
30/05/2017,1.6389
31/05/2017,1.6122
01/06/2017,1.6014
02/06/2017,1.5771
05/06/2017,1.5381
06/06/2017,1.5545
07/06/2017,1.4913
08/06/2017,1.4919
09/06/2017,1.5017
12/06/2017,1.488
13/06/2017,1.4995
14/06/2017,1.4327
15/06/2017,1.4357
16/06/2017,1.4548
19/06/2017,1.4506
20/06/2017,1.424
21/06/2017,1.4105
22/06/2017,1.4345
23/06/2017,1.4341
26/06/2017,1.4387
27/06/2017,1.4598
28/06/2017,1.4833
29/06/2017,1.4856
30/06/2017,1.5152
03/07/2017,1.5348
05/07/2017,1.5024
06/07/2017,1.5287
07/07/2017,1.4984
10/07/2017,1.5007
11/07/2017,1.5183
12/07/2017,1.5208
13/07/2017,1.5261
14/07/2017,1.5605
17/07/2017,1.5567
18/07/2017,1.5789
19/07/2017,1.6169
20/07/2017,1.6062
21/07/2017,1.5633
24/07/2017,1.5568
25/07/2017,1.5962
26/07/2017,1.6173
27/07/2017,1.6446
28/07/2017,1.6761
31/07/2017,1.7058
01/08/2017,1.6613
02/08/2017,1.6448
03/08/2017,1.6319
04/08/2017,1.6463
07/08/2017,1.6299
08/08/2017,1.6208
09/08/2017,1.62
10/08/2017,1.6028
11/08/2017,1.613
14/08/2017,1.5767
15/08/2017,1.5795
16/08/2017,1.5638
17/08/2017,1.5869
18/08/2017,1.624
21/08/2017,1.5841
22/08/2017,1.5908
23/08/2017,1.6189
24/08/2017,1.6641
25/08/2017,1.6666
28/08/2017,1.7123
29/08/2017,1.7833
30/08/2017,1.8847
31/08/2017,2.1399
01/09/2017,1.7479
05/09/2017,1.6991
06/09/2017,1.6733
07/09/2017,1.661
08/09/2017,1.6476
11/09/2017,1.6345
12/09/2017,1.6563
13/09/2017,1.6473
14/09/2017,1.6287
15/09/2017,1.6617
18/09/2017,1.6686
19/09/2017,1.655
20/09/2017,1.6551
21/09/2017,1.6438
22/09/2017,1.6684
25/09/2017,1.722
26/09/2017,1.6988
27/09/2017,1.654
28/09/2017,1.6318
29/09/2017,1.6065
02/10/2017,1.5553
03/10/2017,1.5655
04/10/2017,1.5805
05/10/2017,1.6114
06/10/2017,1.5588
09/10/2017,1.5594
10/10/2017,1.5915
11/10/2017,1.6092
12/10/2017,1.5832
13/10/2017,1.6222
16/10/2017,1.6169
17/10/2017,1.6301
18/10/2017,1.6429
19/10/2017,1.6447
20/10/2017,1.6781
23/10/2017,1.6783
24/10/2017,1.7155
25/10/2017,1.7348
26/10/2017,1.7506
27/10/2017,1.7686
30/10/2017,1.7641
31/10/2017,1.7796
01/11/2017,1.741
02/11/2017,1.7697
03/11/2017,1.7934
06/11/2017,1.83
07/11/2017,1.8153
08/11/2017,1.8213
09/11/2017,1.8197
10/11/2017,1.8124
13/11/2017,1.7929
14/11/2017,1.7612
15/11/2017,1.7388
16/11/2017,1.7202
17/11/2017,1.7447
20/11/2017,1.7438
21/11/2017,1.7731
22/11/2017,1.7679
23/11/2017,1.7732
24/11/2017,1.788
26/11/2017,1.7854
27/11/2017,1.7893
28/11/2017,1.772
29/11/2017,1.7309
30/11/2017,1.7284
01/12/2017,1.7416
03/12/2017,1.7353
04/12/2017,1.6922
05/12/2017,1.7184
06/12/2017,1.6609
07/12/2017,1.7
08/12/2017,1.7166
10/12/2017,1.7096
11/12/2017,1.7266
12/12/2017,1.6976
13/12/2017,1.6467
14/12/2017,1.6707
15/12/2017,1.6548
17/12/2017,1.6586
18/12/2017,1.6725
19/12/2017,1.6966
20/12/2017,1.7353
21/12/2017,1.7476
22/12/2017,1.7623
26/12/2017,1.7866
27/12/2017,1.7915
28/12/2017,1.793
29/12/2017,1.7992
01/01/2018,1.7969
02/01/2018,1.7631
03/01/2018,1.7974
04/01/2018,1.8067
05/01/2018,1.7858
07/01/2018,1.791
08/01/2018,1.7918
09/01/2018,1.8362
10/01/2018,1.8327
11/01/2018,1.837
12/01/2018,1.8495
14/01/2018,1.8455
15/01/2018,1.8565
16/01/2018,1.8384
17/01/2018,1.8584
18/01/2018,1.8835
19/01/2018,1.8636
21/01/2018,1.8665
22/01/2018,1.8801
23/01/2018,1.9087
24/01/2018,1.9164
25/01/2018,1.9154
26/01/2018,1.9377
28/01/2018,1.9309
29/01/2018,1.9349
30/01/2018,1.8954
31/01/2018,1.9075
01/02/2018,1.8958
02/02/2018,1.872
04/02/2018,1.8655
05/02/2018,1.8466
06/02/2018,1.8052
07/02/2018,1.766
08/02/2018,1.765
09/02/2018,1.7002
11/02/2018,1.7075
12/02/2018,1.6785
13/02/2018,1.6853
14/02/2018,1.713
15/02/2018,1.7358
16/02/2018,1.7509
18/02/2018,1.7545
19/02/2018,1.7785
20/02/2018,1.7503
21/02/2018,1.7573
22/02/2018,1.7657
23/02/2018,1.8085
25/02/2018,1.9925
26/02/2018,1.8267
27/02/2018,1.8034
28/02/2018,1.7577
01/03/2018,1.8964
02/03/2018,1.9014
04/03/2018,1.9075
05/03/2018,1.9349
06/03/2018,1.9331
07/03/2018,1.9103
08/03/2018,1.8677
09/03/2018,1.9043
11/03/2018,1.9005
12/03/2018,1.894
13/03/2018,1.8863
14/03/2018,1.9243
15/03/2018,1.9248
16/03/2018,1.9459
18/03/2018,1.9395
19/03/2018,1.9249
20/03/2018,1.9659
21/03/2018,2.0122
