data_inicio,data_fim,acucar_usd
01/01/2017,07/01/2017,20.7325
08/01/2017,14/01/2017,20.548
15/01/2017,21/01/2017,20.5175
22/01/2017,28/01/2017,20.45
29/01/2017,04/02/2017,20.652
05/02/2017,11/02/2017,20.746
12/02/2017,18/02/2017,20.322
19/02/2017,25/02/2017,20.3675
26/02/2017,04/03/2017,19.412
05/03/2017,11/03/2017,18.434
12/03/2017,18/03/2017,18.198
19/03/2017,25/03/2017,17.52
26/03/2017,01/04/2017,17.19
02/04/2017,08/04/2017,16.404
09/04/2017,15/04/2017,16.6625
16/04/2017,22/04/2017,16.466
23/04/2017,29/04/2017,15.804
30/04/2017,06/05/2017,15.702
07/05/2017,13/05/2017,15.56
14/05/2017,20/05/2017,16.04
21/05/2017,27/05/2017,15.752
28/05/2017,03/06/2017,14.465
04/06/2017,10/06/2017,14.124
11/06/2017,17/06/2017,13.668
18/06/2017,24/06/2017,13.188
25/06/2017,01/07/2017,12.958
02/07/2017,08/07/2017,13.9275
09/07/2017,15/07/2017,13.786
16/07/2017,22/07/2017,14.3
23/07/2017,29/07/2017,14.266
30/07/2017,05/08/2017,14.606
06/08/2017,12/08/2017,13.546
13/08/2017,19/08/2017,13.254
20/08/2017,26/08/2017,13.75
27/08/2017,02/09/2017,14.038
03/09/2017,09/09/2017,14.11
10/09/2017,16/09/2017,14.292
17/09/2017,23/09/2017,14.034
24/09/2017,30/09/2017,13.36
01/10/2017,07/10/2017,14.194
08/10/2017,14/10/2017,14.232
15/10/2017,21/10/2017,14.084
22/10/2017,28/10/2017,14.216
29/10/2017,04/11/2017,14.538
05/11/2017,11/11/2017,14.792
12/11/2017,18/11/2017,15.19
19/11/2017,25/11/2017,15.1475
26/11/2017,02/12/2017,15.112
03/12/2017,09/12/2017,14.554
10/12/2017,16/12/2017,13.8
17/12/2017,23/12/2017,14.422
24/12/2017,30/12/2017,14.9475
31/12/2017,06/01/2018,15.2425
07/01/2018,13/01/2018,14.504
14/01/2018,20/01/2018,13.335
21/01/2018,27/01/2018,13.224
28/01/2018,03/02/2018,13.524
04/02/2018,10/02/2018,13.798
11/02/2018,17/02/2018,13.522
18/02/2018,24/02/2018,13.5325
25/02/2018,03/03/2018,13.456
04/03/2018,10/03/2018,13.106
11/03/2018,17/03/2018,12.74
18/03/2018,24/03/2018,12.692
25/03/2018,31/03/2018,12.38
01/04/2018,07/04/2018,12.39
08/04/2018,14/04/2018,12.136
15/04/2018,21/04/2018,11.752
22/04/2018,28/04/2018,11.08
29/04/2018,05/05/2018,11.632
06/05/2018,12/05/2018,11.332
13/05/2018,19/05/2018,11.522
20/05/2018,26/05/2018,12.288
27/05/2018,02/06/2018,12.5925
03/06/2018,09/06/2018,12.02
10/06/2018,16/06/2018,12.292
17/06/2018,23/06/2018,11.928
24/06/2018,30/06/2018,11.916
01/07/2018,07/07/2018,11.485
08/07/2018,14/07/2018,11.228
15/07/2018,21/07/2018,11.088
22/07/2018,28/07/2018,11.074
29/07/2018,04/08/2018,10.658
05/08/2018,11/08/2018,10.81
12/08/2018,18/08/2018,10.27
19/08/2018,25/08/2018,10.158
26/08/2018,01/09/2018,10.472
02/09/2018,08/09/2018,10.835
09/09/2018,15/09/2018,11.378
16/09/2018,22/09/2018,10.71
23/09/2018,29/09/2018,10.222
30/09/2018,06/10/2018,12.174
07/10/2018,13/10/2018,12.95
14/10/2018,20/10/2018,13.634
21/10/2018,27/10/2018,13.89
28/10/2018,03/11/2018,13.328
04/11/2018,10/11/2018,12.938
11/11/2018,17/11/2018,12.708
18/11/2018,24/11/2018,12.6025
25/11/2018,01/12/2018,12.674
02/12/2018,08/12/2018,12.778
09/12/2018,15/12/2018,12.738
16/12/2018,22/12/2018,12.406
23/12/2018,29/12/2018,12.3575
30/12/2018,05/01/2019,11.895
06/01/2019,12/01/2019,12.746
13/01/2019,19/01/2019,12.992
20/01/2019,26/01/2019,12.83
27/01/2019,02/02/2019,12.668
03/02/2019,09/02/2019,12.802
10/02/2019,16/02/2019,12.804
17/02/2019,23/02/2019,13.35
24/02/2019,02/03/2019,12.848
03/03/2019,09/03/2019,12.256
10/03/2019,16/03/2019,12.382
17/03/2019,23/03/2019,12.686
24/03/2019,30/03/2019,12.542
31/03/2019,06/04/2019,12.644
07/04/2019,13/04/2019,12.718
14/04/2019,20/04/2019,12.57
21/04/2019,27/04/2019,12.508
28/04/2019,04/05/2019,12.014
05/05/2019,11/05/2019,11.796
12/05/2019,18/05/2019,11.792
19/05/2019,25/05/2019,11.656
26/05/2019,01/06/2019,11.87
02/06/2019,08/06/2019,12.366
09/06/2019,15/06/2019,12.612
16/06/2019,22/06/2019,12.484
23/06/2019,29/06/2019,12.296
30/06/2019,06/07/2019,12.455
07/07/2019,13/07/2019,12.396
14/07/2019,20/07/2019,11.796
21/07/2019,27/07/2019,11.924
28/07/2019,03/08/2019,12.114
04/08/2019,10/08/2019,11.636
11/08/2019,17/08/2019,11.632
18/08/2019,24/08/2019,11.47
25/08/2019,31/08/2019,11.278
