data_inicio,data_fim,acucar_blr
01/01/2017,07/01/2017,89.468
08/01/2017,14/01/2017,89.096
15/01/2017,21/01/2017,88.0
22/01/2017,28/01/2017,86.41
29/01/2017,04/02/2017,85.118
05/02/2017,11/02/2017,83.868
12/02/2017,18/02/2017,83.062
19/02/2017,25/02/2017,81.86
26/02/2017,04/03/2017,80.6633
05/03/2017,11/03/2017,79.292
12/03/2017,18/03/2017,77.68
19/03/2017,25/03/2017,76.554
26/03/2017,01/04/2017,74.494
02/04/2017,08/04/2017,74.046
09/04/2017,15/04/2017,73.8125
16/04/2017,22/04/2017,73.5925
23/04/2017,29/04/2017,75.436
30/04/2017,06/05/2017,76.865
07/05/2017,13/05/2017,76.61
14/05/2017,20/05/2017,76.352
21/05/2017,27/05/2017,77.52
28/05/2017,03/06/2017,77.476
04/06/2017,10/06/2017,75.456
11/06/2017,17/06/2017,74.025
18/06/2017,24/06/2017,71.202
25/06/2017,01/07/2017,66.776
02/07/2017,08/07/2017,63.25
09/07/2017,15/07/2017,63.118
16/07/2017,22/07/2017,60.074
23/07/2017,29/07/2017,58.824
30/07/2017,05/08/2017,57.742
06/08/2017,12/08/2017,55.506
13/08/2017,19/08/2017,53.764
20/08/2017,26/08/2017,52.836
27/08/2017,02/09/2017,52.648
03/09/2017,09/09/2017,52.08
10/09/2017,16/09/2017,52.532
17/09/2017,23/09/2017,52.568
24/09/2017,30/09/2017,52.426
01/10/2017,07/10/2017,53.05
08/10/2017,14/10/2017,53.28
15/10/2017,21/10/2017,54.546
22/10/2017,28/10/2017,56.256
29/10/2017,04/11/2017,58.035
05/11/2017,11/11/2017,61.774
12/11/2017,18/11/2017,64.7375
19/11/2017,25/11/2017,66.3775
26/11/2017,02/12/2017,68.484
03/12/2017,09/12/2017,69.506
10/12/2017,16/12/2017,68.926
17/12/2017,23/12/2017,68.214
24/12/2017,30/12/2017,67.1833
31/12/2017,06/01/2018,66.84
07/01/2018,13/01/2018,64.204
14/01/2018,20/01/2018,59.58
21/01/2018,27/01/2018,57.144
28/01/2018,03/02/2018,55.498
04/02/2018,10/02/2018,54.262
11/02/2018,17/02/2018,53.6367
18/02/2018,24/02/2018,52.422
25/02/2018,03/03/2018,51.144
04/03/2018,10/03/2018,51.308
11/03/2018,17/03/2018,50.642
18/03/2018,24/03/2018,50.954
25/03/2018,31/03/2018,52.7875
01/04/2018,07/04/2018,53.826
08/04/2018,14/04/2018,54.912
15/04/2018,21/04/2018,55.356
22/04/2018,28/04/2018,55.412
29/04/2018,05/05/2018,55.3475
06/05/2018,12/05/2018,54.644
13/05/2018,19/05/2018,53.256
20/05/2018,26/05/2018,53.678
27/05/2018,02/06/2018,55.4475
03/06/2018,09/06/2018,57.068
10/06/2018,16/06/2018,57.974
17/06/2018,23/06/2018,57.94
24/06/2018,30/06/2018,58.544
01/07/2018,07/07/2018,57.92
08/07/2018,14/07/2018,55.955
15/07/2018,21/07/2018,54.204
22/07/2018,28/07/2018,53.56
29/07/2018,04/08/2018,51.542
05/08/2018,11/08/2018,50.75
12/08/2018,18/08/2018,50.09
19/08/2018,25/08/2018,51.186
26/08/2018,01/09/2018,54.312
02/09/2018,08/09/2018,56.9425
09/09/2018,15/09/2018,60.016
16/09/2018,22/09/2018,62.836
23/09/2018,29/09/2018,62.21
30/09/2018,06/10/2018,62.08
07/10/2018,13/10/2018,63.405
14/10/2018,20/10/2018,64.836
21/10/2018,27/10/2018,65.876
28/10/2018,03/11/2018,66.215
