data_inicio,data_fim,brent_usd
01/01/2017,07/01/2017,56.48
08/01/2017,14/01/2017,55.028
15/01/2017,21/01/2017,54.98
22/01/2017,28/01/2017,55.502
29/01/2017,04/02/2017,56.22
05/02/2017,11/02/2017,55.644
12/02/2017,18/02/2017,55.754
19/02/2017,25/02/2017,56.25
26/02/2017,04/03/2017,55.772
05/03/2017,11/03/2017,53.72
12/03/2017,18/03/2017,51.516
19/03/2017,25/03/2017,50.916
26/03/2017,01/04/2017,52.058
02/04/2017,08/04/2017,54.356
09/04/2017,15/04/2017,55.99
16/04/2017,22/04/2017,53.626
23/04/2017,29/04/2017,51.738
30/04/2017,06/05/2017,50.05
07/05/2017,13/05/2017,49.98
14/05/2017,20/05/2017,52.36
21/05/2017,27/05/2017,53.118
28/05/2017,03/06/2017,51.004
04/06/2017,10/06/2017,48.732
11/06/2017,17/06/2017,47.66
18/06/2017,24/06/2017,45.702
25/06/2017,01/07/2017,47.026
02/07/2017,08/07/2017,48.38
09/07/2017,15/07/2017,47.894
16/07/2017,22/07/2017,48.864
23/07/2017,29/07/2017,50.756
30/07/2017,05/08/2017,52.244
06/08/2017,12/08/2017,52.242
13/08/2017,19/08/2017,51.11
20/08/2017,26/08/2017,52.11
27/08/2017,02/09/2017,51.976
03/09/2017,09/09/2017,53.638
10/09/2017,16/09/2017,54.872
17/09/2017,23/09/2017,56.04
24/09/2017,30/09/2017,58.062
01/10/2017,07/10/2017,56.108
08/10/2017,14/10/2017,56.552
15/10/2017,21/10/2017,57.766
22/10/2017,28/10/2017,58.776
29/10/2017,04/11/2017,61.09
05/11/2017,11/11/2017,63.78
12/11/2017,18/11/2017,62.264
19/11/2017,25/11/2017,63.104
26/11/2017,02/12/2017,63.572
03/12/2017,09/12/2017,62.426
10/12/2017,16/12/2017,63.402
17/12/2017,23/12/2017,64.384
24/12/2017,30/12/2017,66.7625
31/12/2017,06/01/2018,67.525
07/01/2018,13/01/2018,68.986
14/01/2018,20/01/2018,69.342
21/01/2018,27/01/2018,70.092
28/01/2018,03/02/2018,69.152
04/02/2018,10/02/2018,65.518
11/02/2018,17/02/2018,63.768
18/02/2018,24/02/2018,66.008
25/02/2018,03/03/2018,65.622
04/03/2018,10/03/2018,64.954
11/03/2018,17/03/2018,65.162
18/03/2018,24/03/2018,68.46
25/03/2018,31/03/2018,70.0075
01/04/2018,07/04/2018,67.844
08/04/2018,14/04/2018,71.27
