data_inicio,data_fim,dolar_blr
01/01/2017,07/01/2017,3.2368
08/01/2017,14/01/2017,3.1914
15/01/2017,21/01/2017,3.208
22/01/2017,28/01/2017,3.1674
29/01/2017,04/02/2017,3.129
05/02/2017,11/02/2017,3.1198
12/02/2017,18/02/2017,3.0886
19/02/2017,25/02/2017,3.0824
26/02/2017,04/03/2017,3.1187
05/03/2017,11/03/2017,3.1468
12/03/2017,18/03/2017,3.132
19/03/2017,25/03/2017,3.0982
26/03/2017,01/04/2017,3.1308
02/04/2017,08/04/2017,3.1226
09/04/2017,15/04/2017,3.1445
16/04/2017,22/04/2017,3.1295
23/04/2017,29/04/2017,3.1614
30/04/2017,06/05/2017,3.1673
07/05/2017,13/05/2017,3.1646
14/05/2017,20/05/2017,3.1938
21/05/2017,27/05/2017,3.2754
28/05/2017,03/06/2017,3.2536
04/06/2017,10/06/2017,3.2778
11/06/2017,17/06/2017,3.2988
18/06/2017,24/06/2017,3.3248
25/06/2017,01/07/2017,3.3038
02/07/2017,08/07/2017,3.297
09/07/2017,15/07/2017,3.2226
16/07/2017,22/07/2017,3.1502
23/07/2017,29/07/2017,3.1492
30/07/2017,05/08/2017,3.1198
06/08/2017,12/08/2017,3.1468
13/08/2017,19/08/2017,3.1684
20/08/2017,26/08/2017,3.1538
27/08/2017,02/09/2017,3.1548
03/09/2017,09/09/2017,3.112
10/09/2017,16/09/2017,3.1182
17/09/2017,23/09/2017,3.1346
24/09/2017,30/09/2017,3.1728
01/10/2017,07/10/2017,3.1482
08/10/2017,14/10/2017,3.1705
15/10/2017,21/10/2017,3.1728
22/10/2017,28/10/2017,3.2494
29/10/2017,04/11/2017,3.28
05/11/2017,11/11/2017,3.2668
12/11/2017,18/11/2017,3.2842
19/11/2017,25/11/2017,3.2394
26/11/2017,02/12/2017,3.242
03/12/2017,09/12/2017,3.2604
10/12/2017,16/12/2017,3.3168
17/12/2017,23/12/2017,3.3058
24/12/2017,30/12/2017,3.3123
31/12/2017,06/01/2018,3.24
07/01/2018,13/01/2018,3.2284
14/01/2018,20/01/2018,3.2126
21/01/2018,27/01/2018,3.1824
28/01/2018,03/02/2018,3.1822
04/02/2018,10/02/2018,3.2706
11/02/2018,17/02/2018,3.2287
18/02/2018,24/02/2018,3.245
25/02/2018,03/03/2018,3.2458
04/03/2018,10/03/2018,3.2428
11/03/2018,17/03/2018,3.2696
18/03/2018,24/03/2018,3.2964
25/03/2018,31/03/2018,3.316
01/04/2018,07/04/2018,3.3408
08/04/2018,14/04/2018,3.4022
15/04/2018,21/04/2018,3.401
22/04/2018,28/04/2018,3.469
29/04/2018,05/05/2018,3.5255
06/05/2018,12/05/2018,3.5756
13/05/2018,19/05/2018,3.6826
20/05/2018,26/05/2018,3.6546
27/05/2018,02/06/2018,3.7468
03/06/2018,09/06/2018,3.8012
10/06/2018,16/06/2018,3.7342
17/06/2018,23/06/2018,3.7624
24/06/2018,30/06/2018,3.8334
01/07/2018,07/07/2018,3.911
08/07/2018,14/07/2018,3.8568
15/07/2018,21/07/2018,3.8364
22/07/2018,28/07/2018,3.738
29/07/2018,04/08/2018,3.7396
05/08/2018,11/08/2018,3.784
12/08/2018,18/08/2018,3.8978
19/08/2018,25/08/2018,4.0516
26/08/2018,01/09/2018,4.115
02/09/2018,08/09/2018,4.1378
09/09/2018,15/09/2018,4.153
16/09/2018,22/09/2018,4.0984
23/09/2018,29/09/2018,4.044
30/09/2018,06/10/2018,3.9228
07/10/2018,13/10/2018,3.7497
14/10/2018,20/10/2018,3.7112
21/10/2018,27/10/2018,3.694
28/10/2018,03/11/2018,3.7003
04/11/2018,10/11/2018,3.7386
11/11/2018,17/11/2018,3.7735
18/11/2018,24/11/2018,3.7856
25/11/2018,01/12/2018,3.8686
02/12/2018,08/12/2018,3.8658
09/12/2018,15/12/2018,3.8938
16/12/2018,22/12/2018,3.8824
23/12/2018,29/12/2018,3.8973
30/12/2018,05/01/2019,3.7617
06/01/2019,12/01/2019,3.7116
13/01/2019,19/01/2019,3.7306
20/01/2019,26/01/2019,3.7714
27/01/2019,02/02/2019,3.7044
03/02/2019,09/02/2019,3.695
10/02/2019,16/02/2019,3.7334
17/02/2019,23/02/2019,3.7312
24/02/2019,02/03/2019,3.748
03/03/2019,09/03/2019,3.8677
10/03/2019,16/03/2019,3.8246
17/03/2019,23/03/2019,3.8042
24/03/2019,30/03/2019,3.9002
31/03/2019,06/04/2019,3.8634
07/04/2019,13/04/2019,3.853
14/04/2019,20/04/2019,3.9072
21/04/2019,27/04/2019,3.9448
28/04/2019,04/05/2019,3.939
05/05/2019,11/05/2019,3.949
12/05/2019,18/05/2019,4.0172
19/05/2019,25/05/2019,4.051
26/05/2019,01/06/2019,3.9854
02/06/2019,08/06/2019,3.881
09/06/2019,15/06/2019,3.8664
16/06/2019,22/06/2019,3.8588
23/06/2019,29/06/2019,3.838
30/06/2019,06/07/2019,3.826
07/07/2019,13/07/2019,3.7672
14/07/2019,20/07/2019,3.751
21/07/2019,27/07/2019,3.7666
28/07/2019,03/08/2019,3.8194
04/08/2019,10/08/2019,3.9514
11/08/2019,17/08/2019,3.9942
18/08/2019,24/08/2019,4.0638
25/08/2019,31/08/2019,4.15
01/09/2019,07/09/2019,4.1278
08/09/2019,14/09/2019,4.0814
15/09/2019,21/09/2019,4.1182
22/09/2019,28/09/2019,4.1628
29/09/2019,05/10/2019,4.1188
06/10/2019,12/10/2019,4.0986
13/10/2019,19/10/2019,4.1436
20/10/2019,26/10/2019,4.0568
27/10/2019,02/11/2019,3.9972
03/11/2019,09/11/2019,4.0656
10/11/2019,16/11/2019,4.171
17/11/2019,23/11/2019,4.1976
24/11/2019,30/11/2019,4.2324
01/12/2019,07/12/2019,4.192
08/12/2019,14/12/2019,4.1206
15/12/2019,21/12/2019,4.07
22/12/2019,28/12/2019,4.062
29/12/2019,04/01/2020,4.0307
05/01/2020,11/01/2020,4.0696
12/01/2020,18/01/2020,4.1596
19/01/2020,25/01/2020,4.1834
26/01/2020,01/02/2020,4.233
02/02/2020,08/02/2020,4.2692
09/02/2020,15/02/2020,4.3288
16/02/2020,22/02/2020,4.3658
23/02/2020,29/02/2020,4.467
01/03/2020,07/03/2020,4.57
08/03/2020,14/03/2020,4.7586
15/03/2020,21/03/2020,5.0814
22/03/2020,28/03/2020,5.061
29/03/2020,04/04/2020,5.2422
05/04/2020,11/04/2020,5.1925
12/04/2020,18/04/2020,5.2204
19/04/2020,25/04/2020,5.472
26/04/2020,02/05/2020,5.5027
03/05/2020,09/05/2020,5.6886
10/05/2020,16/05/2020,5.8562
17/05/2020,23/05/2020,5.6558
24/05/2020,30/05/2020,5.3578
31/05/2020,06/06/2020,5.1502
07/06/2020,13/06/2020,4.931
14/06/2020,20/06/2020,5.2662
21/06/2020,27/06/2020,5.3042
28/06/2020,04/07/2020,5.3708
05/07/2020,11/07/2020,5.3446
12/07/2020,18/07/2020,5.3612
19/07/2020,25/07/2020,5.2128
26/07/2020,01/08/2020,5.1722
02/08/2020,08/08/2020,5.3402
09/08/2020,15/08/2020,5.4236
16/08/2020,22/08/2020,5.5318
18/10/2020,24/10/2020,5.607
25/10/2020,31/10/2020,5.7082
01/11/2020,07/11/2020,5.587
08/11/2020,14/11/2020,5.43
15/11/2020,21/11/2020,5.3598
22/11/2020,28/11/2020,5.3598
29/11/2020,05/12/2020,5.2194
06/12/2020,12/12/2020,5.0968
13/12/2020,19/12/2020,5.0974
20/12/2020,26/12/2020,5.1627
27/12/2020,02/01/2021,5.203
03/01/2021,09/01/2021,5.322
10/01/2021,16/01/2021,5.3226
17/01/2021,23/01/2021,5.3578
24/01/2021,30/01/2021,5.4304
31/01/2021,06/02/2021,5.4022
07/02/2021,13/02/2021,5.3806
14/02/2021,20/02/2021,5.4223
21/02/2021,27/02/2021,5.4828
28/02/2021,06/03/2021,5.6746
07/03/2021,13/03/2021,5.6628
14/03/2021,20/03/2021,5.5772
21/03/2021,27/03/2021,5.6106
28/03/2021,03/04/2021,5.711
04/04/2021,10/04/2021,5.634
11/04/2021,17/04/2021,5.662
18/04/2021,24/04/2021,5.519
25/04/2021,01/05/2021,5.415
02/05/2021,08/05/2021,5.3448
09/05/2021,15/05/2021,5.264
16/05/2021,22/05/2021,5.2896
23/05/2021,29/05/2021,5.2878
30/05/2021,05/06/2021,5.127
06/06/2021,12/06/2021,5.0658
13/06/2021,19/06/2021,5.0508
20/06/2021,26/06/2021,4.9616
27/06/2021,03/07/2021,4.9866
04/07/2021,10/07/2021,5.202
11/07/2021,17/07/2021,5.1316
18/07/2021,24/07/2021,5.2168
25/07/2021,31/07/2021,5.1482
01/08/2021,07/08/2021,5.1958
08/08/2021,14/08/2021,5.2322
15/08/2021,21/08/2021,5.3416
22/08/2021,28/08/2021,5.2574
29/08/2021,04/09/2021,5.181
05/09/2021,11/09/2021,5.2652
12/09/2021,18/09/2021,5.2584
19/09/2021,25/09/2021,5.3176
26/09/2021,02/10/2021,5.4072
03/10/2021,09/10/2021,5.4844
10/10/2021,16/10/2021,5.5057
17/10/2021,23/10/2021,5.5884
24/10/2021,30/10/2021,5.5918
31/10/2021,06/11/2021,5.5977
07/11/2021,13/11/2021,5.476
14/11/2021,20/11/2021,5.5477
21/11/2021,27/11/2021,5.5908
28/11/2021,04/12/2021,5.6512
05/12/2021,11/12/2021,5.607
12/12/2021,18/12/2021,5.6888
19/12/2021,25/12/2021,5.702
26/12/2021,01/01/2022,5.6355
02/01/2022,08/01/2022,5.666
09/01/2022,15/01/2022,5.5654
16/01/2022,22/01/2022,5.4824
23/01/2022,29/01/2022,5.434
30/01/2022,05/02/2022,5.2954
06/02/2022,12/02/2022,5.2374
13/02/2022,19/02/2022,5.1666
20/02/2022,26/02/2022,5.0872
27/02/2022,05/03/2022,5.071
06/03/2022,12/03/2022,5.0432
13/03/2022,19/03/2022,5.088
20/03/2022,26/03/2022,4.8574
27/03/2022,02/04/2022,4.7486
03/04/2022,09/04/2022,4.6878
10/04/2022,16/04/2022,4.6848
17/04/2022,23/04/2022,4.6883
24/04/2022,30/04/2022,4.9426
01/05/2022,07/05/2022,5.009
08/05/2022,14/05/2022,5.1238
15/05/2022,21/05/2022,4.9514
22/05/2022,28/05/2022,4.7888
29/05/2022,04/06/2022,4.7758
05/06/2022,11/06/2022,4.889
12/06/2022,18/06/2022,5.107
19/06/2022,25/06/2022,5.1986
26/06/2022,02/07/2022,5.2484
03/07/2022,09/07/2022,5.3484
10/07/2022,16/07/2022,5.4106
17/07/2022,23/07/2022,5.4592
24/07/2022,30/07/2022,5.2632
