data_inicio,data_fim,rbob_usd
01/01/2017,07/01/2017,1.6348
08/01/2017,14/01/2017,1.5866
15/01/2017,21/01/2017,1.5624
22/01/2017,28/01/2017,1.5472
29/01/2017,04/02/2017,1.5394
05/02/2017,11/02/2017,1.5421
12/02/2017,18/02/2017,1.5361
19/02/2017,25/02/2017,1.5127
26/02/2017,04/03/2017,1.6038
05/03/2017,11/03/2017,1.6458
12/03/2017,18/03/2017,1.5881
19/03/2017,25/03/2017,1.6026
26/03/2017,01/04/2017,1.6614
02/04/2017,08/04/2017,1.7213
09/04/2017,15/04/2017,1.7481
16/04/2017,22/04/2017,1.6809
23/04/2017,29/04/2017,1.5865
30/04/2017,06/05/2017,1.5121
07/05/2017,13/05/2017,1.537
14/05/2017,20/05/2017,1.6122
21/05/2017,27/05/2017,1.6457
28/05/2017,03/06/2017,1.6074
04/06/2017,10/06/2017,1.5155
11/06/2017,17/06/2017,1.4621
18/06/2017,24/06/2017,1.4307
25/06/2017,01/07/2017,1.4765
02/07/2017,08/07/2017,1.5161
09/07/2017,15/07/2017,1.5253
16/07/2017,22/07/2017,1.5844
23/07/2017,29/07/2017,1.6182
30/07/2017,05/08/2017,1.658
06/08/2017,12/08/2017,1.6173
13/08/2017,19/08/2017,1.5862
20/08/2017,26/08/2017,1.6249
27/08/2017,02/09/2017,1.8536
03/09/2017,09/09/2017,1.6703
10/09/2017,16/09/2017,1.6457
17/09/2017,23/09/2017,1.6582
24/09/2017,30/09/2017,1.6626
01/10/2017,07/10/2017,1.5743
08/10/2017,14/10/2017,1.5931
15/10/2017,21/10/2017,1.6425
22/10/2017,28/10/2017,1.7296
29/10/2017,04/11/2017,1.7696
05/11/2017,11/11/2017,1.8197
12/11/2017,18/11/2017,1.7516
19/11/2017,25/11/2017,1.7692
26/11/2017,02/12/2017,1.7579
03/12/2017,09/12/2017,1.7039
10/12/2017,16/12/2017,1.6843
17/12/2017,23/12/2017,1.7122
24/12/2017,30/12/2017,1.7926
31/12/2017,06/01/2018,1.79
07/01/2018,13/01/2018,1.823
14/01/2018,20/01/2018,1.8576
