data,acucar_blr
01/08/2022,131.5
02/08/2022,129.33
03/08/2022,128.84
04/08/2022,129.48
05/08/2022,129.61
08/08/2022,129.55
09/08/2022,129.96
10/08/2022,129.77
11/08/2022,129.94
12/08/2022,129.94
15/08/2022,129.14
16/08/2022,129.47
17/08/2022,129.99
18/08/2022,128.24
19/08/2022,127.74
22/08/2022,128.95
23/08/2022,129.1
24/08/2022,128.15
25/08/2022,128.08
26/08/2022,127.73
29/08/2022,128.2
30/08/2022,126.22
31/08/2022,125.07
01/09/2022,123.99
02/09/2022,122.73
05/09/2022,125
06/09/2022,124.95
08/09/2022,124.94
09/09/2022,125.13
12/09/2022,123.81
13/09/2022,123.94
14/09/2022,124.05
15/09/2022,124.25
16/09/2022,123.9
19/09/2022,124.55
20/09/2022,124.73
21/09/2022,124.9
22/09/2022,124.38
23/09/2022,124.43
26/09/2022,124.62
27/09/2022,124.86
28/09/2022,125.45
29/09/2022,124.31
30/09/2022,124.41
03/10/2022,124.73
04/10/2022,125.42
05/10/2022,125.44
06/10/2022,125.68
07/10/2022,125.56
10/10/2022,125.68
11/10/2022,125.65
13/10/2022,126.4
14/10/2022,126.19
17/10/2022,127.22
18/10/2022,127.11
19/10/2022,127.69
20/10/2022,128.28
21/10/2022,128.46
24/10/2022,127.83
25/10/2022,128.6
26/10/2022,128.15
27/10/2022,128.66
28/10/2022,128.75
31/10/2022,128.26
01/11/2022,129.08
03/11/2022,128.83
04/11/2022,129.13
07/11/2022,128.79
08/11/2022,129.12
09/11/2022,129.05
10/11/2022,129.5
11/11/2022,130.01
14/11/2022,130.01
16/11/2022,129.92
17/11/2022,131.71
18/11/2022,131.93
21/11/2022,131.82
22/11/2022,134.1
23/11/2022,134.43
24/11/2022,135.7
25/11/2022,135.54
28/11/2022,136
29/11/2022,135.58
30/11/2022,136.29
