data,rbob_usd
01/08/2022,2.5193
02/08/2022,2.5356
03/08/2022,2.4542
04/08/2022,2.3829
05/08/2022,2.3943
07/08/2022,2.8326
08/08/2022,2.4529
09/08/2022,2.4806
10/08/2022,2.5503
11/08/2022,2.5896
12/08/2022,2.5707
14/08/2022,3.0434
15/08/2022,2.5076
16/08/2022,2.4616
17/08/2022,2.4954
18/08/2022,2.5548
19/08/2022,2.5676
21/08/2022,2.9928
22/08/2022,2.5077
23/08/2022,2.5776
24/08/2022,2.5308
25/08/2022,2.4955
26/08/2022,2.5112
28/08/2022,2.6691
29/08/2022,2.5746
30/08/2022,2.4255
31/08/2022,2.3410
01/09/2022,2.2800
02/09/2022,2.3344
04/09/2022,2.4814
05/09/2022,2.5021
06/09/2022,2.3041
07/09/2022,2.2077
08/09/2022,2.2503
09/09/2022,2.3376
11/09/2022,2.4246
12/09/2022,2.3632
13/09/2022,2.3774
14/09/2022,2.4121
15/09/2022,2.3198
16/09/2022,2.3169
18/09/2022,2.4207
19/09/2022,2.3454
20/09/2022,2.3161
21/09/2022,2.3159
22/09/2022,2.3333
23/09/2022,2.2139
25/09/2022,2.3308
26/09/2022,2.1695
27/09/2022,2.2319
28/09/2022,2.3154
29/09/2022,2.2726
30/09/2022,2.2366
02/10/2022,2.4338
03/10/2022,2.3265
04/10/2022,2.4360
05/10/2022,2.4666
06/10/2022,2.4799
07/10/2022,2.5387
09/10/2022,2.7455
10/10/2022,2.4495
11/10/2022,2.4352
12/10/2022,2.4162
13/10/2022,2.4713
14/10/2022,2.3922
16/10/2022,2.6435
17/10/2022,2.3749
18/10/2022,2.3516
19/10/2022,2.4143
20/10/2022,2.3945
21/10/2022,2.4093
23/10/2022,2.4689
24/10/2022,2.4255
25/10/2022,2.4672
26/10/2022,2.5059
27/10/2022,2.5523
28/10/2022,2.4909
30/10/2022,2.5615
31/10/2022,2.4589
01/11/2022,2.5249
02/11/2022,2.6080
03/11/2022,2.5828
04/11/2022,2.6489
06/11/2022,2.7062
07/11/2022,2.5923
08/11/2022,2.5645
09/11/2022,2.4765
10/11/2022,2.5086
11/11/2022,2.5556
13/11/2022,2.6500
14/11/2022,2.4719
15/11/2022,2.4742
16/11/2022,2.4597
17/11/2022,2.3975
18/11/2022,2.3510
20/11/2022,2.4218
21/11/2022,2.3646
22/11/2022,2.5405
23/11/2022,2.4744
24/11/2022,2.4495
25/11/2022,2.3282
27/11/2022,2.2779
28/11/2022,2.3306
29/11/2022,2.3321
30/11/2022,2.3847
