data_inicio,data_fim,acucar_usd
01/08/2022,06/08/2022,17.71
07/08/2022,13/08/2022,18.262
14/08/2022,20/08/2022,18.182
21/08/2022,27/08/2022,18.048
28/08/2022,03/09/2022,18.114
04/09/2022,10/09/2022,18.04
11/09/2022,17/09/2022,18.212
25/09/2022,01/10/2022,18.338
02/10/2022,08/10/2022,18.084
09/10/2022,15/10/2022,18.736
16/10/2022,22/10/2022,18.572
23/10/2022,29/10/2022,17.878
30/10/2022,05/11/2022,18.41
06/11/2022,12/11/2022,19.222
13/11/2022,19/11/2022,20.034
20/11/2022,26/11/2022,19.62
27/11/2022,03/12/2022,19.5133
