data_inicio,data_fim,acucar_blr
01/08/2022,06/08/2022,129.752
07/08/2022,13/08/2022,129.832
14/08/2022,20/08/2022,128.916
21/08/2022,27/08/2022,128.402
28/08/2022,03/09/2022,125.242
04/09/2022,10/09/2022,125.005
11/09/2022,17/09/2022,123.99
25/09/2022,01/10/2022,124.73
02/10/2022,08/10/2022,125.366
09/10/2022,15/10/2022,125.98
16/10/2022,22/10/2022,127.752
23/10/2022,29/10/2022,128.398
30/10/2022,05/11/2022,128.825
06/11/2022,12/11/2022,129.294
13/11/2022,19/11/2022,130.8925
20/11/2022,26/11/2022,134.318
27/11/2022,03/12/2022,135.9567
