data_inicio,data_fim,brent_usd
01/08/2022,06/08/2022,97.278
07/08/2022,13/08/2022,97.622
14/08/2022,20/08/2022,94.88
21/08/2022,27/08/2022,98.558
28/08/2022,03/09/2022,96.528
04/09/2022,10/09/2022,91.606
11/09/2022,17/09/2022,92.692
25/09/2022,01/10/2022,86.7
02/10/2022,08/10/2022,93.274
09/10/2022,15/10/2022,93.53
16/10/2022,22/10/2022,90.226
23/10/2022,29/10/2022,94.274
30/10/2022,05/11/2022,95.776
06/11/2022,12/11/2022,95.118
13/11/2022,19/11/2022,91.452
20/11/2022,26/11/2022,86.038
27/11/2022,03/12/2022,83.8833
