data_inicio,data_fim,dolar_blr
01/08/2022,06/08/2022,5.2249
07/08/2022,13/08/2022,5.1119
14/08/2022,20/08/2022,5.1487
21/08/2022,27/08/2022,5.1085
28/08/2022,03/09/2022,5.1487
04/09/2022,10/09/2022,5.2025
11/09/2022,17/09/2022,5.1895
25/09/2022,01/10/2022,5.3917
02/10/2022,08/10/2022,5.1919
09/10/2022,15/10/2022,5.2743
16/10/2022,22/10/2022,5.2333
23/10/2022,29/10/2022,5.328
30/10/2022,05/11/2022,5.1278
06/11/2022,12/11/2022,5.2314
13/11/2022,19/11/2022,5.374
20/11/2022,26/11/2022,5.3537
27/11/2022,03/12/2022,5.2733
