data_inicio,data_fim,rbob_usd
01/08/2022,06/08/2022,2.4573
07/08/2022,13/08/2022,2.5795
14/08/2022,20/08/2022,2.6051
21/08/2022,27/08/2022,2.6026
28/08/2022,03/09/2022,2.4374
04/09/2022,10/09/2022,2.3472
11/09/2022,17/09/2022,2.369
25/09/2022,01/10/2022,2.2595
02/10/2022,08/10/2022,2.4469
09/10/2022,15/10/2022,2.485
16/10/2022,22/10/2022,2.4313
23/10/2022,29/10/2022,2.4851
30/10/2022,05/11/2022,2.5642
06/11/2022,12/11/2022,2.5673
13/11/2022,19/11/2022,2.4674
20/11/2022,26/11/2022,2.4298
27/11/2022,03/12/2022,2.3313
